time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-04 00:00:00+00:00,2,2,66,27
2023-06-05 00:00:00+00:00,2,1,72,21
2023-06-06 00:00:00+00:00,2,2,24,15
2023-06-07 00:00:00+00:00,0,0,46,16
2023-06-08 00:00:00+00:00,6,5,21,13
2023-06-09 00:00:00+00:00,0,0,26,13
2023-06-10 00:00:00+00:00,4,4,35,16
2023-06-11 00:00:00+00:00,0,0,38,20
2023-06-12 00:00:00+00:00,6,6,63,16
2023-06-13 00:00:00+00:00,3,3,47,18
2023-06-14 00:00:00+00:00,2,2,49,20
2023-06-15 00:00:00+00:00,6,6,154,51
2023-06-16 00:00:00+00:00,2,2,210,43
2023-06-17 00:00:00+00:00,5,4,275,50
2023-06-18 00:00:00+00:00,2,2,168,38
2023-06-19 00:00:00+00:00,3,3,90,31
2023-06-20 00:00:00+00:00,4,4,107,40
2023-06-21 00:00:00+00:00,7,6,195,43
2023-06-22 00:00:00+00:00,10,6,181,42
2023-06-23 00:00:00+00:00,2,2,172,45
2023-06-24 00:00:00+00:00,2,2,134,36
2023-06-25 00:00:00+00:00,3,3,179,45
2023-06-26 00:00:00+00:00,7,7,111,32
2023-06-27 00:00:00+00:00,2,2,197,48
2023-06-28 00:00:00+00:00,1,1,97,30
2023-06-29 00:00:00+00:00,4,4,95,28
2023-06-30 00:00:00+00:00,2,2,94,26
2023-07-01 00:00:00+00:00,8,8,105,21
2023-07-02 00:00:00+00:00,6,6,45,22
2023-07-03 00:00:00+00:00,1,1,98,27
2023-07-04 00:00:00+00:00,6,5,59,22
2023-07-05 00:00:00+00:00,5,4,118,32
2023-07-06 00:00:00+00:00,0,0,110,18
2023-07-07 00:00:00+00:00,2,2,113,29
2023-07-08 00:00:00+00:00,16,9,91,36
2023-07-09 00:00:00+00:00,7,6,117,38
2023-07-10 00:00:00+00:00,5,4,76,24
2023-07-11 00:00:00+00:00,6,3,62,20
2023-07-12 00:00:00+00:00,1,1,172,27
2023-07-13 00:00:00+00:00,8,7,135,34
2023-07-14 00:00:00+00:00,4,3,123,34
2023-07-15 00:00:00+00:00,2,2,79,25
2023-07-16 00:00:00+00:00,9,9,96,23
2023-07-17 00:00:00+00:00,5,4,100,27
2023-07-18 00:00:00+00:00,4,4,79,22
2023-07-19 00:00:00+00:00,1,1,122,29
2023-07-20 00:00:00+00:00,1,1,81,28
2023-07-21 00:00:00+00:00,1,1,92,24
2023-07-22 00:00:00+00:00,1,1,101,30
